"abbrev"	"value_100"
"AL"	113.9
"AK"	94.61
"AZ"	103.73
"AR"	114.29
"CA"	88.97
"CO"	98.04
"CT"	91.91
"DE"	98.14
"FL"	100.91
"GA"	108.7
"HI"	85.62
"ID"	107.07
"IL"	99.3
"IN"	109.41
"IA"	110.74
"KS"	110.25
"KY"	112.74
"LA"	109.41
"ME"	102.99
"MD"	90.66
"MA"	93.37
"MI"	106.27
"MN"	102.46
"MS"	115.34
"MO"	111.86
"MT"	106.16
"NE"	110.38
"NV"	102.35
"NH"	95.06
"NJ"	87.34
"NM"	105.26
"NY"	86.43
"NC"	109.05
"ND"	109.29
"OH"	111.98
"OK"	110.99
"OR"	101.01
"PA"	101.83
"RI"	101.32
"SC"	110.5
"SD"	113.64
"TN"	110.86
"TX"	103.52
"UT"	103.09
"VT"	98.81
"VA"	97.47
"WA"	96.34
"WV"	112.49
"WI"	107.07
"WY"	103.95
